concept_id,name
842,Folliculitis
843,Regimen failure
844,HIV DNA polymerase chain reaction
845,"Ultrasound, abdomen"
846,"Head, CT"
847,BS for MPS
848,Serum albumin
849,Urinary albumin
850,ALP
851,Mean corpuscular volume
852,"Ultrasound, hepatic"
853,CD8 count
854,CD4/CD8
855,Erythrocyte sedimentation rate
856,HIV viral load
857,Blood urea nitrogen
858,ZN stain
859,Congestion
860,Neck pains
861,Hearing difficulties
862,P.V. discharge
863,Itching
864,Genital sores
865,Throat painful
866,Painful swallowing
867,Insomnia
868,Anorexia
869,Malaise
870,Backache
871,Chills
872,Running nose
873,Otorrhea
874,Eye discharge
875,General bodyache
876,Fast breathing
877,Dizziness
878,Sneezing
879,Pruritis
880,Rhinitis
881,Dysphagia
882,Pneumocystis pneumonia
883,Ziehl nielsen stain
884,Human immunodeficiency virus
885,Papanicolaou smear
886,Bacille camile-guerin vaccination
888,Vitamin D deficiency
889,Vitamin C deficiency
890,Leprosy
891,Pertussis
892,Chicken pox
893,Gonorrhea
894,Acquired immunodeficiency syndrome
895,Upper respiratory tract infection
896,Chalazion
897,Cutaneous abscess NOT specified
898,Low back pain
899,False labor
900,Diarrhea and gastroenteritis of presumed infectious origin
901,Fever of unknown origin
902,Pelvic inflammatory disease
903,Hypertension
904,Injury of unspecified body region
905,Incomplete abortion
906,Unspecified malaria
907,Depo-provera
908,"Herpes simplex virus, qualitative"
909,Chest pain quality
910,Other and unspecified convulsions
911,Depressive episode
912,Ibuprofen
913,Chlorphenamine
914,Chlorpromazine
915,Trihexyphenidyl
916,Cotrimoxazole
917,Scopolamine
918,Miconazole
919,Nystatin
920,Carbamazepine
921,Diphenhydramine
922,Cloxacillin
923,Ranitidine
924,Sulfadoxine and Pyrimethamine
925,Ampicillin+cloxacillin
926,Ketoconazole
927,Fluphenazine
928,Aminophylline
929,Hydralazine
930,Pseudoephedrine and Tripolidine
931,Amitriptyline
932,Schistosomiasis
933,Open wound of unspecified body region
934,Sexually transmitted disease unspecified
935,Metakelfin
936,Levamisole
937,Dermatophytosis
938,Silver Sulfadiazine
939,Paromomycin
940,Spondylosis
941,Albendazole
942,Probenecid
943,Triamcinalone
944,Antacid
945,Cerebral palsy
946,Fefol
947,Erythema
948,Tympanic membrane injected
949,Tympanic membrane sclerosis
950,Tympanic membrane dull
951,Varicose leg ulcers
952,Absolute lymphocyte count
953,Liver function tests
954,Escherichia coli
955,Moxifloxacin
956,Celecoxib
957,Loratadine
958,Famciclovir
959,Domperidone
960,Clotrimazole
961,Esomeprazole
962,Itraconazole
963,Cefixime
964,Rofecoxib
965,Asdf
966,Current antiretroviral drugs used for transmission prophylaxis
967,Partner referred for hiv test
968,Date of last menstrual period
969,Post HIV test counseling
970,Hemoptysis
971,Diarrhea less than one month
972,Focal neurological deficit
973,Review of symptoms other
974,Presenting history
975,How did the patient travel to clinic
976,Walking
977,By bicycle
978,Mini bus
979,Car
986,Confirmed drug resistant tuberculosis
987,Multidrug-resistant TB
988,TB drug sensitivity testing result
989,Detail of assistance with transport
990,Assistance with transport
991,Previous diagnosis construct
992,Previous diagnosis
993,Enteropathy
994,Ist
995,Other neurological condition
996,Cardiovascular disease
997,Previous diagnosis absent
998,Anaphylaxis
999,Previous diagnosis date
1003,Peripheral blood mononuclear cells
1004,Sputum
1006,Total cholesterol
1007,High-density lipoprotein cholesterol
