drug_id,name,units
225,Lidocaine Hydrochroride (HCL) 2% (25ml ampulle),ml
226,Lofemenol 1 cycle,item
227,LA (Lumefantrine + arthemether),tab(s)
228,Lumefantrine + Arthemether 2 x 6 ,tab (s)
229,Lumefantrine + Arthemether 3 x 6 ,tab (s)
230,Lumefantrine + Arthemether 4 x 6 ,tab (s)
231,Metformine HCI(500mg tablet),tab(s)
232,Morphine sulphate (10mg - slow release),tab(s)
233,Neomycin Sulphate & Bacitracin Zinc Ointment (15g),g
234,Nicotinamide (50mg tablet),tab(s)
235,Nitrofurantoin (100mg tablet),tab(s)
236,Nitrofurantoin (20mg tablet) ,tab(s)
237,Phenobarbitone (30mg tablet) ,tab(s)
238,Phenobarbitone sodium (200mg/ml),mg/ml
239,Potassium chloride (600mg tablet (slow relea)),tab(s)
240,Praziquantel (600mg tablet),tab(s)
241,Promethazine (5mg/5mL syrup),ml
242,Promethazine (50mg),tab(s)
243,Promethazine hydrochloride (25mg tablet),tab(s)
244,Quinine Dihydrochloride (300mg/2ml ampulle),ml
245,Quinine hydrochloride (300 mg tablet),tab(s)
246,Silver Sulfadiazine Cream (50g tube),%
247,Sodium valproate (150mg capsule (covulex)),
248,Spironolactone (25mg tablet) ,tab(s)
249,Valproic Acid (150mg tablet (Convulex 150)),tab(s)
250,"Vitamin A (100,000 IU tablet)   ",tab(s)
251,"Vitamin A (200,000 IU tablet)   ",tab(s)
252,Zinc Oxide 10% cream(100mg tube) ,application
253,Chloroquine(500mg),tab(s)
254,Metformin (1g),g
255,Metformin (850mg),tab(s)
256,Metformin (750mg),tab(s)
257,Glibenclamide (10mg tablet),tab(s)
258,Captopril (6.25mg tablet),tab(s)
259,Captopril (12.5mg tablet),tab(s)
260,Captopril (50mg tablet),tab(s)
261,Quinapril (20mg),tab(s)
262,Quinapril (40mg tablet),tab(s)
263,Aspirin (75mg tablet),tab(s)
264,Aspirin (150mg tablet),tab(s)
265,Hydrochlorothiazide (12.5mg tablet),tab(s)
266,HCTZ (25mg tablet),tab(s)
267,Nifedipine (10mg tablet),tab(s)
268,Nifedipine (20mg tablet),tab(s)
269,Nifedipine SR (10mg tablet),tab(s)
270,Nifedipine SR (20mg tablet),tab(s)
271,Lente Insulin,unit(s)
272,Propanolol (160mg tablet),tab(s)
273,Propanolol (240mg tablet),tab(s)
274,Propanolol (320mg tablet),tab(s)
275,Methyldopa (125mg tablet),tab(s)
276,Methyldopa (500mg tablet),tab(s)
277,Furosemide (20mg tablet),tab(s)
278,Furosemide (60mg tablet),tab(s)
279,Furosemide (80mg tablet),tab(s)
280,Furosemide (120mg tablet),tab(s)
281,Acyclovir (400mg tablet),tab(s)
282,Allopurinol (100mg tablet),tab(s)
283,Benzhexol (5mg tablet),tab(s)
284,Carbimazole (5mg tablet),tab(s)
285,Chloramphenicol (250mg tablet),tab(s)
286,Chlorpheniramine (4mg tablet),tab(s)
287,Codeine phosphate (15mg tablet),tab(s)
288,Cotrimoxazole (480mg tablet),tab(s)
